feature,weight
intercept,0.9574048246463199
Marital status,0.07520998261705306
Application mode,-0.012400464778158487
Application order,-0.0781884531245677
Course,-0.21795436059217635
Daytime/evening attendance,-0.061652461795040095
Previous qualification,0.13093880546050146
Previous qualification (grade),-0.026475265217350594
Nacionality,-0.11088893640971992
Mother's qualification,-0.19460903913999358
Father's qualification,0.06147470193820171
Mother's occupation,0.2796636973626209
Father's occupation,-0.001293747695774073
Admission grade,0.04078380455727508
Displaced,-0.11289783824656766
Educational special needs,-0.3032402391000851
Debtor,-0.3661574041663319
Tuition fees up to date,0.8543161637437099
Gender,-0.25232375868622503
Scholarship holder,0.6017662167435084
Age at enrollment,-0.28335038385445716
International,0.9890730358347205
Curricular units 1st sem (credited),-0.3749404332935151
Curricular units 1st sem (enrolled),0.4183692841064316
Curricular units 1st sem (evaluations),-0.005194968455868927
Curricular units 1st sem (approved),1.0328114546555178
Curricular units 1st sem (grade),-0.3379541473671791
Curricular units 1st sem (without evaluations),0.241189502614876
Curricular units 2nd sem (credited),-0.5299736470242681
Curricular units 2nd sem (enrolled),-1.3911321867887834
Curricular units 2nd sem (evaluations),0.12941737898028982
Curricular units 2nd sem (approved),1.915055714552169
Curricular units 2nd sem (grade),0.3477876369022377
Curricular units 2nd sem (without evaluations),0.08693316054839446
Unemployment rate,-0.18263708803045792
Inflation rate,-0.0311510769484997
GDP,-0.014327417703930707
