feature,mean_importance
Curricular units 1st sem (evaluations),-0.0023468827132361535
Daytime/evening attendance,-0.0008579008083865359
Father's qualification,-0.0007167693210469617
Previous qualification,-0.0002750507220880105
Curricular units 2nd sem (without evaluations),-0.00013954361252069836
International,0.0
Educational special needs,0.0
Nacionality,2.1629481876528357e-05
Marital status,0.00014649494348500935
Curricular units 1st sem (grade),0.0005725791887446485
Curricular units 2nd sem (grade),0.0006113656235145814
Displaced,0.000906855117096228
Gender,0.00111800740825293
Previous qualification (grade),0.0014022933318918684
Debtor,0.0015037201446170489
Mother's qualification,0.0015146576950275325
Application order,0.0016807439575896698
Curricular units 1st sem (without evaluations),0.0017807211965042424
Inflation rate,0.001874142818544644
Curricular units 1st sem (credited),0.0019061971237559704
Mother's occupation,0.0024303519536807427
Father's occupation,0.00298522930516999
Application mode,0.0032276552824318403
Admission grade,0.004831559157387044
Scholarship holder,0.005126702311227793
Curricular units 2nd sem (enrolled),0.005411320414762055
GDP,0.0058421068825266435
Unemployment rate,0.005886429501566637
Curricular units 2nd sem (credited),0.006473361373808007
Curricular units 1st sem (approved),0.010036148027909853
Curricular units 1st sem (enrolled),0.010373526453387572
Age at enrollment,0.010836763968170838
Curricular units 2nd sem (evaluations),0.01142376005761383
Course,0.01577055826166185
Tuition fees up to date,0.09757732577326451
Curricular units 2nd sem (approved),0.29863200577400056
