feature,mean_importance
Curricular units 1st sem (credited),-0.00024443649467126294
Gender,-0.00015816074593290043
Previous qualification (grade),-0.00013315107178840657
Educational special needs,-2.2204460492503132e-17
Father's qualification,-2.2204460492503132e-17
Marital status,-2.2204460492503132e-17
Daytime/evening attendance,-2.2204460492503132e-17
Displaced,-1.1102230246251566e-17
International,-1.1102230246251566e-17
Mother's qualification,-1.1102230246251566e-17
Previous qualification,0.0
Nacionality,3.3114716241333666e-05
Curricular units 1st sem (grade),8.36319288054721e-05
Curricular units 2nd sem (without evaluations),0.0001102225274562274
Father's occupation,0.00020560887389942106
Inflation rate,0.00025986538933713276
Curricular units 1st sem (approved),0.00032280300943194896
Debtor,0.0005599441432353469
Application order,0.0007240769213954556
Curricular units 1st sem (without evaluations),0.000766956126329521
Application mode,0.0008910872451584839
Curricular units 1st sem (evaluations),0.000994995820797251
Scholarship holder,0.0011807550983177206
Unemployment rate,0.0012693520530309699
Mother's occupation,0.0016200737887952289
GDP,0.0019789611219287904
Admission grade,0.0021281937596127954
Curricular units 2nd sem (enrolled),0.0023523674854261543
Curricular units 2nd sem (credited),0.0029068647067502897
Age at enrollment,0.002986122361153376
Curricular units 2nd sem (evaluations),0.0042228988640504615
Course,0.005609026107773485
Curricular units 1st sem (enrolled),0.008710173430137857
Curricular units 2nd sem (grade),0.02255952392605697
Tuition fees up to date,0.0941971789764079
Curricular units 2nd sem (approved),0.26215535932794093
