feature,mean_importance
Previous qualification,-0.07685319751442868
Curricular units 1st sem (grade),-0.07148780095907266
Scholarship holder,-0.046711546405463336
Marital status,-0.03819332811961644
Curricular units 1st sem (enrolled),-0.030644103881479045
Mother's qualification,-0.013114107170095224
Application order,-0.011351591018967166
Mother's occupation,-0.006835776891348977
Father's occupation,-0.004835209363740956
Curricular units 1st sem (approved),-0.0041627950321970085
Debtor,-0.0014455154021639105
Nacionality,-0.0014388155639877055
International,-0.0004581526645289991
Educational special needs,0.0
Curricular units 2nd sem (enrolled),0.0005416051351858186
Curricular units 1st sem (without evaluations),0.0007008609119118381
Father's qualification,0.00688081903394464
Curricular units 2nd sem (credited),0.01148148874144903
Curricular units 2nd sem (without evaluations),0.012508325616180694
Daytime/evening attendance,0.013797058099345682
Age at enrollment,0.01947555516547963
Curricular units 1st sem (credited),0.020895594590647736
Unemployment rate,0.0219094372403952
Previous qualification (grade),0.023089785999003288
Admission grade,0.02645300004727824
GDP,0.03644873718561377
Gender,0.03759990059202358
Application mode,0.03881743555129262
Curricular units 2nd sem (grade),0.04261294167052689
Curricular units 1st sem (evaluations),0.06000669068274391
Curricular units 2nd sem (evaluations),0.07052844659198845
Inflation rate,0.07062834347615454
Displaced,0.0728373877394933
Curricular units 2nd sem (approved),0.14492689115826676
Course,0.16929899550326194
Tuition fees up to date,0.23508986099277354
