feature,mean_importance
Educational special needs,-0.0011386695200630958
Father's qualification,-0.0004808231693146592
Application mode,-0.00041395745140372365
Curricular units 1st sem (enrolled),-0.0003056249357517027
Curricular units 1st sem (evaluations),-0.00019842799156698508
Nacionality,-0.00010354786474927601
Inflation rate,-3.971107508179417e-05
Daytime/evening attendance,1.601145307754681e-05
GDP,0.00016444494531029364
Curricular units 1st sem (without evaluations),0.00016720803137687534
Previous qualification (grade),0.00023390445590669716
Marital status,0.0004759294970219763
Curricular units 2nd sem (without evaluations),0.0004942026099837959
Admission grade,0.0006429420008964403
Father's occupation,0.0006837324014529634
Displaced,0.0007764859520428269
Debtor,0.0009066447881738937
Curricular units 2nd sem (evaluations),0.0009483721441150616
Previous qualification,0.0011816224065253288
Application order,0.0012729002500831087
International,0.00466763326201527
Gender,0.004705074124600384
Scholarship holder,0.004985393912501501
Mother's qualification,0.0053035181946428315
Mother's occupation,0.005505845224406403
Unemployment rate,0.006518508762452446
Curricular units 1st sem (grade),0.007143853498811481
Curricular units 2nd sem (grade),0.007245316345038344
Course,0.010898935399627153
Curricular units 2nd sem (credited),0.01966812080704953
Curricular units 1st sem (credited),0.020062079807229228
Age at enrollment,0.022279727382054304
Tuition fees up to date,0.06765044899024458
Curricular units 1st sem (approved),0.08218631718580013
Curricular units 2nd sem (enrolled),0.10183077923224433
Curricular units 2nd sem (approved),0.4349532164521843
