feature,shap_importance
Curricular units 2nd sem (approved),1.565130744851813
Curricular units 1st sem (approved),0.6911014677819856
Curricular units 2nd sem (enrolled),0.5466147371575404
Tuition fees up to date,0.41020241748195774
Age at enrollment,0.3046897230735968
Curricular units 1st sem (grade),0.24222419783569488
Curricular units 2nd sem (grade),0.22662875567083987
Curricular units 2nd sem (credited),0.20018848260957042
Displaced,0.19863646027711834
Curricular units 1st sem (credited),0.19327023438035743
Gender,0.18309368937189086
Scholarship holder,0.17663650741061176
Mother's qualification,0.17455859580267302
Course,0.1358248804900074
Unemployment rate,0.1340956256992415
Mother's occupation,0.1286680435697564
Curricular units 2nd sem (evaluations),0.1284413826517037
Father's qualification,0.12544803059168122
Application order,0.09926978727847069
Debtor,0.07060423195326655
Admission grade,0.056093944950629575
Marital status,0.052238044046819095
Previous qualification,0.04512719242439625
Curricular units 1st sem (without evaluations),0.03922030665188462
Father's occupation,0.035766665982230376
International,0.03341673458412666
Inflation rate,0.02958088070064186
Curricular units 2nd sem (without evaluations),0.02517553046145773
Previous qualification (grade),0.0217761445787805
Application mode,0.020919129303687924
Nacionality,0.01767188891150788
Daytime/evening attendance,0.016653868621002682
Curricular units 1st sem (enrolled),0.01577065864789026
GDP,0.012841712133374901
Curricular units 1st sem (evaluations),0.011897168809505601
Educational special needs,0.008711322829764353
