feature,shap_importance
Curricular units 2nd sem (approved),1.2821410229281183
Tuition fees up to date,0.42792847011761737
Curricular units 1st sem (approved),0.3340917472499749
Age at enrollment,0.2163416599245493
Course,0.17516512047516392
Curricular units 2nd sem (grade),0.14851482766863175
Curricular units 1st sem (enrolled),0.09877402510277063
Gender,0.09288745277428084
Curricular units 2nd sem (enrolled),0.09076148337774843
Admission grade,0.08697492409324892
Curricular units 2nd sem (evaluations),0.080368765662283
Curricular units 1st sem (grade),0.07882243309918598
Scholarship holder,0.07787678249175635
Unemployment rate,0.06558560832788236
Displaced,0.0595141274674518
Previous qualification (grade),0.05887318401831435
Debtor,0.05371978598942423
GDP,0.049942868630750266
Mother's qualification,0.04824821753633607
Father's occupation,0.04676802328175219
Mother's occupation,0.04579347263927389
Application mode,0.045713043336280984
Curricular units 1st sem (evaluations),0.045503973739004264
Father's qualification,0.044106900933615883
Inflation rate,0.03690678503777351
Curricular units 1st sem (credited),0.03577761704614209
Application order,0.030541859579668682
Curricular units 2nd sem (credited),0.022718448294922984
Curricular units 1st sem (without evaluations),0.012468528363767942
Curricular units 2nd sem (without evaluations),0.00509602064564336
Previous qualification,0.004362995236577611
Daytime/evening attendance,0.0023750339706326176
Nacionality,0.002124210060864616
Marital status,0.0019403674321882866
Educational special needs,0.0
International,0.0
