feature,mean_importance
Educational special needs,-0.0004673297848222013
Curricular units 1st sem (grade),-0.00017655128741576043
Daytime/evening attendance,0.0
International,0.0
Nacionality,0.00032751557632343387
Curricular units 1st sem (evaluations),0.000530041513907098
Marital status,0.0005507440537337094
Curricular units 2nd sem (without evaluations),0.0007440724908622798
Admission grade,0.0008499624980931264
Father's qualification,0.0010151178645802506
GDP,0.0011898737852695574
Previous qualification,0.0013106448772908896
Application order,0.0015391207668372542
Father's occupation,0.0016795233865389725
Inflation rate,0.0017428815475598158
Application mode,0.0021038026344168846
Mother's qualification,0.002235816908970878
Displaced,0.0025110641842088777
Curricular units 1st sem (without evaluations),0.0025914961880804553
Curricular units 2nd sem (credited),0.0026622058789982027
Debtor,0.0029845211102771272
Unemployment rate,0.0035556122601024254
Scholarship holder,0.00399219187223906
Curricular units 2nd sem (evaluations),0.004201033017043132
Mother's occupation,0.005569431973590366
Curricular units 1st sem (credited),0.006127292310273302
Gender,0.006392068453780731
Previous qualification (grade),0.006693942093140215
Curricular units 1st sem (approved),0.00831775856226411
Curricular units 2nd sem (grade),0.008346616139830287
Curricular units 1st sem (enrolled),0.010814425329668743
Curricular units 2nd sem (enrolled),0.01241986869649766
Course,0.015391729497553797
Age at enrollment,0.01570976574951688
Tuition fees up to date,0.0626379764409217
Curricular units 2nd sem (approved),0.21021540035553668
