feature,shap_importance
Curricular units 2nd sem (approved),0.22392935000129485
Tuition fees up to date,0.06342767597326816
Age at enrollment,0.02344000823794378
Curricular units 2nd sem (grade),0.02053589294646233
Curricular units 1st sem (approved),0.01083495736152881
Curricular units 1st sem (enrolled),0.010475799501951433
Course,0.006872241205618796
Curricular units 2nd sem (enrolled),0.005860396135779455
Curricular units 2nd sem (evaluations),0.005023826675910357
Curricular units 1st sem (grade),0.0027448488133207933
Admission grade,0.002146407879222596
Curricular units 1st sem (credited),0.002108081901778875
Scholarship holder,0.001853167634879817
Curricular units 1st sem (evaluations),0.0018200968228179416
Debtor,0.0016686866593485323
GDP,0.0015634268405417865
Curricular units 2nd sem (credited),0.0014976883791939428
Mother's occupation,0.0013934742979362362
Application mode,0.0012773982745200797
Gender,0.0012166599435859153
Previous qualification (grade),0.0010554675320004648
Nacionality,0.0004508071430880649
Father's occupation,0.00038192625261094365
Inflation rate,0.0002582129891894098
Application order,0.00020023302326944078
Unemployment rate,0.00018124865578069798
International,0.00012002241015857408
Mother's qualification,0.00011970528005060126
Daytime/evening attendance,0.00011921246936698156
Curricular units 1st sem (without evaluations),0.00010940653957577634
Curricular units 2nd sem (without evaluations),6.582529327082882e-05
Father's qualification,6.103592411484839e-05
Previous qualification,3.873681211334231e-05
Displaced,9.577847936363717e-06
Educational special needs,0.0
Marital status,0.0
