name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,logloss,0.6273370456052659,1.62
2_DecisionTree,Decision Tree,logloss,0.38640686560956183,8.68
3_Linear,Linear,logloss,0.3156983587875652,5.11
4_Default_LightGBM,LightGBM,logloss,0.32518033095088084,5.9
5_Default_Xgboost,Xgboost,logloss,0.31460701004312647,5.81
6_Default_CatBoost,CatBoost,logloss,0.3111368658173849,3.3
7_Default_NeuralNetwork,Neural Network,logloss,0.33884755333890887,2.98
8_Default_RandomForest,Random Forest,logloss,0.3418090581605672,6.03
9_Default_ExtraTrees,Extra Trees,logloss,0.34727073678824083,5.76
10_Default_NearestNeighbors,Nearest Neighbors,logloss,0.7515846316244431,2.71
Ensemble,Ensemble,logloss,0.3045629266230101,2.04
